"SITE_REFERENCE","GAS_FLOW_DAY","ENERGY_VALUE"
"SC02",23/02/2020,27.84
"SC02",24/02/2020,24.42
"SC02",25/02/2020,26.46
"SC02",26/02/2020,28.05
"SC02",27/02/2020,28.37
"SC02",28/02/2020,28.4
"SC02",29/02/2020,28.08
"SC02",01/03/2020,24.85
"SC02",02/03/2020,19.32
"SC02",03/03/2020,24.47
"SC02",04/03/2020,31.31
"SC02",05/03/2020,29.05
"SC02",06/03/2020,29.37
"SC02",07/03/2020,23.24
"SC02",08/03/2020,27.11
"SC02",09/03/2020,22.54
"SC02",10/03/2020,19.32
"SC02",11/03/2020,28.76
"SC02",12/03/2020,26.51
"SC02",13/03/2020,24.36
"SC02",14/03/2020,27.77
"SC02",15/03/2020,23.61
"SC02",16/03/2020,21.03
"SC02",17/03/2020,19.2
"SC02",18/03/2020,21.03
"SC02",19/03/2020,22.29
"SC02",20/03/2020,17.63
"SC02",21/03/2020,19.93
"SC02",22/03/2020,24.67
"SC02",23/03/2020,22.78
"SC02",24/03/2020,17.99
"SC02",25/03/2020,22.09
"SC02",26/03/2020,19.56
"SC02",27/03/2020,20.46
"SC02",28/03/2020,29.03
"SC02",29/03/2020,17.31
"SC02",30/03/2020,20.77
"SC02",31/03/2020,17.31
"SC03",01/04/2019,0
"SC03",02/04/2019,0
"SC03",03/04/2019,0
"SC03",04/04/2019,0
"SC03",05/04/2019,0
"SC03",06/04/2019,0
"SC03",07/04/2019,0
"SC03",08/04/2019,7.81
"SC03",09/04/2019,28.18
"SC03",10/04/2019,25.05
"SC03",11/04/2019,31.39
"SC03",12/04/2019,18.79
"SC03",13/04/2019,15.34
"SC03",14/04/2019,26.3
"SC03",15/04/2019,41.65
"SC03",16/04/2019,23.99
"SC03",17/04/2019,8.43
"SC03",18/04/2019,12.84
"SC03",19/04/2019,11.27
"SC03",20/04/2019,14.72
"SC03",21/04/2019,7.83
"SC03",22/04/2019,7.85
"SC03",23/04/2019,10.05
"SC03",24/04/2019,11.93
"SC03",25/04/2019,5.32
"SC03",26/04/2019,9.71
"SC03",27/04/2019,9.73
"SC03",28/04/2019,3.14
"SC03",29/04/2019,9.73
"SC03",30/04/2019,9.1
"SC03",01/05/2019,8.79
"SC03",02/05/2019,36.73
"SC03",03/05/2019,55.88
"SC03",04/05/2019,31.39
"SC03",05/05/2019,26.62
"SC03",06/05/2019,27.87
"SC03",07/05/2019,24.42
"SC03",08/05/2019,9.71
"SC03",09/05/2019,35.38
"SC03",10/05/2019,29.43
"SC03",11/05/2019,9.08
"SC03",12/05/2019,7.83
"SC03",13/05/2019,10.02
"SC03",14/05/2019,8.43
"SC03",15/05/2019,9.06
"SC03",16/05/2019,9.06
"SC03",17/05/2019,13.12
"SC03",18/05/2019,12.18
"SC03",19/05/2019,3.75
"SC03",20/05/2019,8.77
"SC03",21/05/2019,14.09
"SC03",22/05/2019,7.22
"SC03",23/05/2019,8.93
"SC03",24/05/2019,15.1
"SC03",25/05/2019,22.8
"SC03",26/05/2019,0.95
"SC03",27/05/2019,0.31
"SC03",28/05/2019,0.31
"SC03",29/05/2019,14.64
"SC03",30/05/2019,21.24
"SC03",31/05/2019,19.99
"SC03",01/06/2019,9.06
"SC03",02/06/2019,3.13
"SC03",03/06/2019,7.28
"SC03",04/06/2019,8.45
"SC03",05/06/2019,5.95
"SC03",06/06/2019,5.67
"SC03",07/06/2019,13.29
"SC03",08/06/2019,6.04
"SC03",09/06/2019,2.54
"SC03",10/06/2019,5.43
"SC03",11/06/2019,14.38
"SC03",12/06/2019,14.94
"SC03",13/06/2019,23.15
"SC03",14/06/2019,23.09
"SC03",15/06/2019,7.55
"SC03",16/06/2019,5.95
"SC03",17/06/2019,6.89
"SC03",18/06/2019,7.52
"SC03",19/06/2019,6.29
"SC03",20/06/2019,7.22
"SC03",21/06/2019,9.42
"SC03",22/06/2019,6.91
"SC03",23/06/2019,7.52
"SC03",24/06/2019,7.18
"SC03",25/06/2019,6.25
"SC03",26/06/2019,5.59
"SC03",27/06/2019,9.03
"SC03",28/06/2019,9.68
"SC03",29/06/2019,6.25
"SC03",30/06/2019,2.51
"SC03",01/07/2019,6.29
